product_scope,market_date,institution_total_sv_18,detail_fields,detail_values,detail_sum,difference_sv_18_minus_detail_sum,sv_15_futures_quantity,classification
KOSPI200_CALL_U,20251121,439,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,491|-1|1|0|0|0|0|0,491,-52,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251124,399,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,399|2|0|0|0|0|0|0,401,-2,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251125,282,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,275|2|0|0|0|0|0|0,277,5,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251126,-163,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-21|-125|0|0|0|0|0|0,-146,-17,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251127,148,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,477|-351|0|0|0|0|0|0,126,22,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251128,80,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,81|3|0|0|0|0|0|0,84,-4,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251201,430,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,449|-32|0|0|0|0|0|0,417,13,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251202,-441,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-292|-130|-2|0|0|0|0|0,-424,-17,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251203,-18,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,146|-201|1|0|0|0|0|0,-54,36,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251204,-806,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-343|-464|0|0|0|0|0|0,-807,1,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251208,-11121,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-3921|-7189|1|0|0|0|0|0,-11109,-12,0,OPTION_SPECIFIC_SEMANTICS
